hid,name,longitude,latitude,distance_km,checkin_date,最早预定日期,最晚预定日期,search_quantity,try_quantity,order_quantity
401917,山水时尚酒店(广州火车东站店),113.324344,23.149276,8.789484048269957,2026/5/29,20260525,20260529,917,\N,\N
401917,山水时尚酒店(广州火车东站店),113.324344,23.149276,8.789484048269957,2026/6/14,20260525,20260614,2082,3,1
401917,山水时尚酒店(广州火车东站店),113.324344,23.149276,8.789484048269957,2026/5/25,20260525,20260525,194,\N,\N
281000,广州圣丰索菲特大酒店,113.315885,23.138155,9.523213567785469,2026/5/23,20260119,20260524,7679,2,\N
281000,广州圣丰索菲特大酒店,113.315885,23.138155,9.523213567785469,2026/4/23,20260119,20260424,7855,2,\N
281000,广州圣丰索菲特大酒店,113.315885,23.138155,9.523213567785469,2026/4/28,20260119,20260429,6398,8,\N
281000,广州圣丰索菲特大酒店,113.315885,23.138155,9.523213567785469,2026/4/27,20260119,20260426,7395,12,\N
281000,广州圣丰索菲特大酒店,113.315885,23.138155,9.523213567785469,2026/6/16,20260119,20260617,9764,2,\N
281000,广州圣丰索菲特大酒店,113.315885,23.138155,9.523213567785469,2026/6/2,20260120,20260603,7714,7,\N
281000,广州圣丰索菲特大酒店,113.315885,23.138155,9.523213567785469,2026/5/4,20260119,20260505,8567,43,\N
281000,广州圣丰索菲特大酒店,113.315885,23.138155,9.523213567785469,2026/5/2,20260119,20260502,8944,34,\N
281000,广州圣丰索菲特大酒店,113.315885,23.138155,9.523213567785469,2026/5/5,20260119,20260505,9120,1,\N
281000,广州圣丰索菲特大酒店,113.315885,23.138155,9.523213567785469,2026/5/25,20260119,20260525,7310,1,\N
281000,广州圣丰索菲特大酒店,113.315885,23.138155,9.523213567785469,2026/6/3,20260124,20260604,7433,1,\N
281000,广州圣丰索菲特大酒店,113.315885,23.138155,9.523213567785469,2026/5/21,20260119,20260522,7349,1,\N
281000,广州圣丰索菲特大酒店,113.315885,23.138155,9.523213567785469,2026/5/12,20260119,20260513,8560,9,\N
281000,广州圣丰索菲特大酒店,113.315885,23.138155,9.523213567785469,2026/5/28,20260119,20260529,6620,5,\N
281000,广州圣丰索菲特大酒店,113.315885,23.138155,9.523213567785469,2026/5/3,20260119,20260503,8567,7,\N
281000,广州圣丰索菲特大酒店,113.315885,23.138155,9.523213567785469,2026/6/21,20260119,20260622,9049,1,\N
281000,广州圣丰索菲特大酒店,113.315885,23.138155,9.523213567785469,2026/5/22,20260119,20260523,7476,3,\N
281000,广州圣丰索菲特大酒店,113.315885,23.138155,9.523213567785469,2026/6/20,20260119,20260621,9295,4,\N
1073354,广州丽柏国际酒店,113.33955,23.1367,7.100013262265022,2026/5/19,20260119,20260208,389,1,\N
281000,广州圣丰索菲特大酒店,113.315885,23.138155,9.523213567785469,2026/6/6,20260119,20260606,7629,4,\N
1073354,广州丽柏国际酒店,113.33955,23.1367,7.100013262265022,2026/5/31,20260119,20260208,244,1,\N
1073354,广州丽柏国际酒店,113.33955,23.1367,7.100013262265022,2026/5/5,20260119,20260208,631,2,\N
281000,广州圣丰索菲特大酒店,113.315885,23.138155,9.523213567785469,2026/6/12,20260120,20260613,7645,6,\N
281000,广州圣丰索菲特大酒店,113.315885,23.138155,9.523213567785469,2026/5/9,20260119,20260509,9123,1,\N
1073354,广州丽柏国际酒店,113.33955,23.1367,7.100013262265022,2026/5/25,20260119,20260208,349,1,\N
1073354,广州丽柏国际酒店,113.33955,23.1367,7.100013262265022,2026/4/24,20260119,20260208,985,4,\N
281000,广州圣丰索菲特大酒店,113.315885,23.138155,9.523213567785469,2026/5/29,20260119,20260530,6199,\N,\N
281000,广州圣丰索菲特大酒店,113.315885,23.138155,9.523213567785469,2026/5/26,20260119,20260527,7245,2,1
281000,广州圣丰索菲特大酒店,113.315885,23.138155,9.523213567785469,2026/5/30,20260119,20260531,6641,\N,\N
281000,广州圣丰索菲特大酒店,113.315885,23.138155,9.523213567785469,2026/6/4,20260119,20260605,7454,\N,\N
281000,广州圣丰索菲特大酒店,113.315885,23.138155,9.523213567785469,2026/6/1,20260119,20260601,8110,\N,\N
281000,广州圣丰索菲特大酒店,113.315885,23.138155,9.523213567785469,2026/6/10,20260119,20260610,7538,\N,\N
